Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Isaiah-Wilkins,2,1,59.16,112.25,87.96,37,2017,33,28,26.5,0.556,0.12,0.571,1.21,0.702,2.36,3.64,1.12,1,1.3,1.85,1.03,6.79,2,0,0.154,1.09,0.97,0.35,23,10,0.697,1.96,2.43,4.39,0.592,0.568,14.83,182.87,1.24,1.38,120.6,87.4,19.11,79,227,86,4,22.68856947,Prospect,NA,NA,NA,NA
Omari-Spellman,3,1,68.72,127.76,94,76,2018,40,39,28.1,0.476,1.62,0.433,1.23,0.7,2.25,5.78,0.75,0.65,1.48,2.3,1,10.85,11,0,0.156,0.75,0.65,0.21,36,4,0.9,3.02,2.27,5.29,0.588,0.573,18.32,160.95,1.78,1.29,123,95.8,19.56,81,245,86,2,20.862423,Prospect,NA,NA,NA,NA
Jarrey-Foster,2,2,64.32,109.5,100.89,303,2018,19,19,32.4,0.466,1.05,0.323,1.95,0.698,2.79,3.16,2.68,0.74,1.21,1.89,1.47,13.21,0,0,0.297,1.82,0.5,0.25,13,6,0.684,1.83,1.12,2.94,0.538,0.514,22.19,148.7,1.06,1.21,118.4,97.2,19.44,78,220,84,3,21.47570157,Prospect,NA,NA,NA,NA
Justin-Jackson,2,1,67.2,113.08,98.74,34,2017,33,30,27.8,0.438,1.39,0.438,2.03,0.698,1.76,4.27,0.94,0.88,0.79,2.18,1.64,10.52,2,0,0.179,0.57,0.54,0.36,24,9,0.727,1.52,1.65,3.17,0.555,0.524,20.23,157.42,3.72,1.3,108.4,97.6,16.14,79,225,87.25,2,21.28131417,Prospect,NA,NA,NA,NA
Trent-Forrest,1,1,71.25,114.29,96.52,32,2018,34,2,25.6,0.494,0.09,0.214,2.71,0.697,1.29,3.65,4.06,1.56,0.35,1.76,1.74,7.91,1,0,0.235,2.34,0.9,0.75,22,12,0.647,2.01,1.62,3.63,0.563,0.503,16.44,140.56,3.68,1.53,117.7,97.4,18.41,77,215,79.5,2,19.96988364,Prospect,NA,NA,NA,NA
Isaac-Copeland,3,1,67.39,110.61,97.07,57,2018,33,33,30.7,0.472,1.24,0.369,1.94,0.696,1.67,4.42,1.15,0.82,1,1.7,1,12.82,3,0,0.24,1.15,0.82,0.27,22,11,0.667,2.36,1.66,4.02,0.556,0.533,20.78,153.68,0.78,1.26,116.2,99.7,18.83,81,221,81,4,22.96783025,Prospect,NA,NA,NA,NA
Rayshaun-Hammonds,2,1,64.4,107.52,95.88,257,2018,33,26,24.2,0.421,0.48,0.286,1.24,0.695,1.48,3.42,1.36,0.45,0.18,2.45,1.3,6.7,0,0,0.166,1.05,0.35,0.3,18,15,0.545,0.76,1.17,1.93,0.495,0.462,17.26,140.11,1.75,1.13,102.6,101.4,11.57,80,227,83,1,19.55646817,Prospect,NA,NA,NA,NA
Jordan-Goodwin,1,2,64.13,102.1,100,25,2018,26,26,33.4,0.372,0.73,0.235,2.5,0.691,2.62,4.88,3.96,2,0.62,2.69,2.15,11.54,5,1,0.362,1.84,0.93,0.32,14,12,0.538,1.05,1.8,2.85,0.448,0.405,23.06,129.85,1.56,1.03,101.3,94.8,17.43,75,215,82,1,19.60574949,Prospect,NA,NA,NA,NA
Quinton-Rose,1,2,67.11,108.28,104.35,27,2017,32,6,24.8,0.434,0.66,0.296,2.22,0.689,0.84,3.22,1.91,1.53,0.44,2.09,1.91,10.06,0,0,0.218,1,0.8,0.39,16,16,0.5,0.74,1.27,2.01,0.513,0.474,24.29,141.91,2.64,1.22,98.7,99.6,16.33,80,185,80,2,20.3449692,Prospect,NA,NA,NA,NA
Dewan-Huell,3,1,67.04,112.86,97.43,35,2018,32,32,25.8,0.576,0,0,2.22,0.689,2.03,4.62,0.44,0.5,0.97,1.88,1.38,11.41,5,0,0.184,0.32,0.36,0.4,22,10,0.688,2.09,1.5,3.59,0.6,0.576,21.7,126.58,4.33,1.43,116.4,97.9,20.84,83,220,84,2,21.47570157,Prospect,NA,NA,NA,NA
